,desc,InitialInterestRate,InitialInterestRate,InitialInterestRate
,,mean,std,count
800,Private Households,5.536031746031746,0.8624282735301103,126
208,Conveyor and Conveying Equipment Manufacturing,5.608472222222222,1.3252357321233084,72
722,Packaging Machinery Manufacturing,5.6737,1.5011140642530485,60
918,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",5.693318007662837,1.234349459004097,261
299,Fabricated Pipe and Pipe Fitting Manufacturing,5.696818181818181,1.294019568382427,66
1,Adhesive Manufacturing,5.6975,0.9075130312897907,52
1009,Veterinary Services,5.735391783567152,1.0720809467744437,4990
433,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",5.780431034482758,1.3675064657093234,58
413,Hotels (except Casino Hotels) and Motels,5.785692240341466,0.8646252621671785,9137
473,Lessors of Miniwarehouses and Self-Storage Units,5.791015625000001,0.9699807703266256,1152
475,Lessors of Nonresidential Buildings (except Miniwarehouses),5.798759226713529,0.9298923617953941,2845
192,Concrete Block and Brick Manufacturing,5.805890410958904,1.0860233724930677,73
776,Polystyrene Foam Product Manufacturing,5.807843137254902,0.9898854756495626,51
525,Metal Tank (Heavy Gauge) Manufacturing,5.808839285714286,1.450635907916822,56
579,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",5.822631578947369,1.4124086902418427,57
434,Industrial Valve Manufacturing,5.829574626865673,1.0964362118105226,134
74,Analytical Laboratory Instrument Manufacturing,5.835337662337663,1.3942196799869397,77
851,Rolled Steel Shape Manufacturing,5.8452702702702695,1.28174348615841,74
916,Soybean Farming,5.847666666666667,1.2424147710313318,60
621,Optical Instrument and Lens Manufacturing,5.8524637681159435,1.2821654543561902,69
54,All Other Plastics Product Manufacturing,5.862384531590413,1.2535507349976023,918
16,Aircraft Engine and Engine Parts Manufacturing,5.878970588235294,1.2281355116366164,68
745,Petroleum Bulk Stations and Terminals,5.880618556701032,0.8302093290663074,97
476,Lessors of Other Real Estate Property,5.888735059760954,1.1094503069352764,502
117,Boat Building,5.901814814814815,1.2360712930773565,135
364,Gasoline Stations with Convenience Stores,5.911878418174166,0.9292730206601655,7131
211,Corn Farming,5.913921568627451,1.262212467742848,51
520,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",5.916940298507463,1.1613739105120673,67
796,Printed Circuit Assembly (Electronic Assembly) Manufacturing,5.91828125,1.1547769037440243,64
811,RV (Recreational Vehicle) Parks and Campgrounds,5.93640350877193,0.9574472075378563,513
382,Grain and Field Bean Merchant Wholesalers,5.941982758620689,1.5582477448989809,116
825,Refrigerated Warehousing and Storage,5.953492063492063,1.1949087679173138,63
429,Industrial Mold Manufacturing,5.962339901477831,1.282469989896118,203
600,Offices of Dentists,5.96580335051543,1.213087581309327,11640
359,Funeral Homes and Funeral Services,5.972044605809123,1.0761874445267838,1928
748,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),5.972502325581396,1.380509620361428,215
